ISBN,title,summary,language,country,num_page,cover,publisher,publication_date,authors,genres
9780061120080,To Kill a Mockingbird,The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it; To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film; also a classic.Compassionate; dramatic; and deeply moving; To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience; kindness and cruelty; love and hatred; humor and pathos. Now with over 18 million copies in print and translated into forty languages; this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.,English,USA,324,https://images.gr-assets.com/books/1361975680l/2657.jpg,Penguin,1988-01-01,Harper Lee,Classics|Fiction|Historical|Historical Fiction|Academic|School
9780679783270,Pride and Prejudice,«È cosa ormai risaputa che a uno scapolo in possesso di un'ingente fortuna manchi soltanto una moglie. Questa verità è cosí radicata nella mente delle famiglie del luoho che; nel momento in cui un simile personaggio viene a far parte del vicinato; prima ancora di conoscere anche lontanamente i suoi desiderî in proposito; viene immediatamente considerato come proprietà legittima di una o l'altra delle loro figlie.»Orgoglio e pregiudizio è uno dei primi romanzi di Jane Austen. La scrittrice lo iniziò a ventun anni; il libro; rifiutato da un editore londinese; rimase in un cassetto fino alla sua pubblicazione anonima nel 1813; e da allora è considerato tra i piú importanti romanzi della letteratura inglese. È la storia delle cinque sorelle Bennet e dei loro corteggiatori; con al centro il romantico contrasto tra l'adorabile e capricciosa Elizabeth e l'altezzoso Darcy; lo spirito di osservazione implacabile e quasi cinico; lo studio arguto dei caratteri; la satira delle vanità e delle debolezze della vita domestica; fanno di questo romanzo una delle piú efficaci e indimenticabili commedie di costume del periodo Regency inglese.,English,USA,279,https://images.gr-assets.com/books/1320399351l/1885.jpg,Crossley,2010-05-05,Jane Austen|Anna Quindlen|Mrs. Oliphant|George Saintsbury|Mark Twain|A.C. Bradley|Walter A. Raleigh|Virginia Woolf,Classics|Fiction|Romance
9780375831000,The Book Thief,Trying to make sense of the horrors of World War II; Death relates the story of Liesel--a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding; as well as their neighbors.,English,USA,552,https://images.gr-assets.com/books/1522157426l/19063.jpg,Hachette,1988-01-01,Markus Zusak,Historical|Historical Fiction|Fiction|Young Adult
9780452284240,Animal Farm,مزرعة الحيوانات هي رائعة جورج أورويل الخالدة.. اختيرت دائمًا ضمن أفضل الأعمال الأدبية في القرن العشرين .. تُرجمت لأكثر من سبعين لغة.. وقرأها الملايين في كل أنحاء العالم.. طُبعت هذه الرواية الأشهر لكاتبها للمرة الأولى في عام 1945 .. وتحكى عن مجموعة من الحيوانات قررت القيام بثورة ضد مالك المزرعة لتحكم نفسها بنفسها وتتولى شئون حياتها. وهنا برع أورويل في أن يُجرى نوعًا من الحكمة السياسية الساخرة والممتعة على ألسنة الحيوانات، تكشف التناقض الحاد بين الشعارات الثورية وممارسات الحكام بعد الثورة، على خلفية نقده اللاذع للديكتاتور السوفيتي جوزيف ستالين.. لكنه يتجاوز ذلك أيضًا ليغوص بعيدًا في أعماق الحيوانات التي منها ــ وليس على رأسها ــ الإنسان.يعتبر جورج أورويل 1903-1950 من أهم الكُـتَّاب البريطانيين في القرن العشرين. ولد في الهند وعمل في بورما بالشرطة البريطانية، عاش فقرا مدقعًا في لندن وباريس، وتطوع عام 1936 ليحارب في صفوف الجمهوريين في إسبانيا ضد قوات فرانكو الفاشية، ثم عمل بهيئة الإذاعة البريطانية وكمحرر وصحفي حتى نهاية حياته. اهتم أورويل طوال حياته بالدفاع عن المظلومين والحق والديمقراطية ومحاربة الدكتاتورية والفقر والظلم. وكتب الشعر والمقال الصحفي والمذكرات والرواية. من أهم رواياته مزرعة الحيوانات و1984,English,USA,122,https://images.gr-assets.com/books/1424037542l/7613.jpg,Simon and Schuster,2002-01-02,George Orwell,Classics|Fiction|Science Fiction|Dystopia|Fantasy|Literature|Academic|School|Politics|Science Fiction|Novels|Academic|Read For School
9780446675540,Gone with the Wind,Gone with the Wind is a novel written by Margaret Mitchell; first published in 1936. The story is set in Clayton County; Georgia; and Atlanta during the American Civil War and Reconstruction era. It depicts the struggles of young Scarlett O'Hara; the daughter of a well-to-do plantation owner; who must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea. A historical novel; the story is a Bildungsroman or coming-of-age story; with the title taken from a poem written by Ernest Dowson.,English,USA,1037,https://images.gr-assets.com/books/1328025229l/18405.jpg,Hachette,1988-01-01,Margaret Mitchell,Classics|Historical|Historical Fiction|Fiction|Romance|Historical
9780345538380,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,لجزء الثالث من ملحمة جيه أر أر تولكين الرائعة سيد الخواتم دخل أفراد رفقة الخاتم فى مغامرات منفصلة أثناء إنجاز المهمة وسيرها فى طريق التنفيذ - اما أراجون الذى كشف أنه الوريث الخلفى لملوك الغرب القدامى فقد أنضم إلى خيالة روهان ضد قوى أيزنجارد وأشترك فى نصر هورنبرج الذى تحقق بصعوبة وبأس - أما ميرى وبيبين كانا قد تعرضا للإختطاف من جانب الأوركيين فقد هربا إلى غابة فانجون وهناك قابلا الأنتيين وعاد جاندالف فيما يشبة المعجزة وهزم الساحر الشرير سارومان وفى نفس الوقت فإن سام وفرودو راحا يتقدمان بإتجاه موردو لتدمير الخاتم وبرفقتهما سميجول - جولام وهو لا يزال مهووسا ب شيئة الثمين وبعد معركة مع أنثى العنكبوت العملاق شيلوب ترك سام سيده طنا منه أنه مات ولكن فرودو كان لا يزال على قيد الحياة فى أيدى الأوركيين وكانت جيوش سيد الظلام تتجمع بإستمرار,English,USA,1728,https://images.gr-assets.com/books/1346072396l/30.jpg,Random House,1988-01-01,J.R.R. Tolkien,Fantasy|Fiction|Classics
9780525478810,The Fault in Our Stars,Despite the tumor-shrinking medical miracle that has bought her a few years; Hazel has never been anything but terminal; her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group; Hazel's story is about to be completely rewritten.Insightful; bold; irreverent; and raw; The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet; brilliantly exploring the funny; thrilling; and tragic business of being alive and in love.,English,USA,313,https://images.gr-assets.com/books/1360206420l/11870085.jpg,Hachette,2010-05-05,John Green,Young Adult|Fiction|Romance|Contemporary
9780060256650,The Giving Tree,"""Once there was a tree...and she loved a little boy.""So begins a story of unforgettable perception; beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples; swing from her branches; or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree; and the tree gave and gave and gave.This is a tender story; touched with sadness; aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return.",English,USA,64,https://images.gr-assets.com/books/1174210942l/370493.jpg,Penguin,1970-02-01,Shel Silverstein,Childrens|Childrens|Picture Books|Classics|Fiction
9780393978900,Wuthering Heights,You can find the redesigned cover of this edition HERE.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition; the editor has collated the 1847 text with several modern editions and has corrected a number of variants; including accidentals. The text is accompanied by entirely new explanitory annotations.New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition; prose and poetry selections by the author; four reviews of the novel; and poetry selections by the author; four reviews of the novel; and Edward Chitham's insightful and unformative chronology of the creative process behind the beloved work.Five major critical interpretations of Wuthering Heights are included; three of them new to the Fourth Edition. A Stuart Daley considers teh mimportance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation. Sandra M. Gilbert asseses the role of Victorian Christianity plays in the novel; while Martha Nussbaum traces the novel's romanticism. Finally; Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights. A Chronology and updated Selected Bibliography are also included.(back cover),English,UK,464,https://images.gr-assets.com/books/1388212715l/6185.jpg,Penguin,1988-01-01,Emily Brontë|Richard J. Dunn|David Timson|Charlotte Brontë|Ruth Golding|Robert Heindel,Classics|Fiction|Romance|Literature
9780739326220,Memoirs of a Geisha,A literary sensation and runaway bestseller; this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In Memoirs of a Geisha; we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic; erotic; suspenseful - and completely unforgettable.,English,USA,434,https://images.gr-assets.com/books/1388367666l/930.jpg,Macmillan,2010-05-05,Arthur Golden,Fiction|Historical|Historical Fiction|Romance|Historical
